,Age,Education-num,Marital-Status,Relationship,Race,Sex,Capital-gain,Capital-loss,hrs-per-week,Native-Country,Employment_type,Earning-potential,predict
55,3,5,0,2,0,1,0,0,3,1,1,0,1
56,3,1,0,2,0,1,0,0,3,0,1,1,1
57,2,6,0,2,0,1,0,0,3,0,1,1,1
58,3,5,0,2,0,1,0,0,4,1,1,1,1
59,1,5,0,2,0,1,1,0,3,1,1,1,1
60,1,7,0,2,0,1,1,0,3,1,1,1,0
62,4,5,0,2,0,1,0,0,3,1,1,1,1
63,3,9,0,2,0,1,0,0,4,1,1,0,0
64,1,5,1,3,0,1,0,0,5,1,1,1,1
65,2,5,0,2,0,1,0,0,3,1,1,1,1
66,1,5,1,3,0,0,0,0,3,1,1,1,1
67,4,5,0,1,0,0,0,0,3,1,1,0,1
68,4,5,0,2,0,1,0,0,4,1,2,0,1
70,0,5,1,4,0,1,0,0,3,1,1,1,1
71,1,7,1,4,3,0,0,0,3,1,1,1,1
72,1,7,0,2,0,1,0,0,7,1,2,0,0
73,0,5,1,3,0,1,0,0,3,1,1,1,1
74,8,5,0,5,0,1,0,0,1,1,1,1,1
75,1,5,1,4,0,1,0,0,3,0,1,1,1
76,3,7,0,2,0,1,0,0,3,1,1,1,0
78,0,3,1,4,0,0,0,0,2,1,1,1,1
79,1,1,0,2,0,1,0,0,3,1,0,1,1
80,0,5,1,3,0,1,0,0,2,1,1,1,1
81,4,7,0,2,0,1,0,0,3,0,1,1,0
82,3,5,0,1,0,0,0,0,3,1,1,1,1
83,5,5,0,2,0,1,0,0,4,1,1,1,1
84,3,5,1,3,0,0,1,0,3,1,1,0,1
85,4,5,1,4,0,0,0,0,3,1,1,1,1
86,4,5,0,2,0,1,0,0,3,1,0,0,1
87,2,8,0,2,0,1,0,0,4,1,1,1,0
88,1,2,1,3,0,1,0,0,3,1,1,1,1
89,3,9,1,3,0,0,0,0,4,1,0,0,1
90,5,6,0,2,0,1,0,0,3,1,1,1,1
91,2,5,1,0,0,0,0,0,3,1,1,1,1
92,1,5,1,0,3,0,0,0,2,1,1,1,1
94,2,7,0,2,0,1,0,0,3,1,0,0,0
95,1,5,1,3,0,1,0,0,4,1,0,1,1
96,4,9,0,2,0,1,0,1,6,1,2,0,0
97,2,5,0,2,0,1,0,0,4,1,1,0,1
98,4,7,1,0,0,0,0,0,3,0,1,1,1
99,2,5,1,4,3,1,0,0,3,1,0,1,1
100,8,8,0,2,0,1,0,0,3,1,1,0,0
101,3,7,0,2,0,1,1,0,6,1,1,0,0
102,4,8,1,3,0,0,0,0,4,1,2,1,1
103,0,5,1,4,0,0,0,0,3,1,1,1,1
104,1,5,1,3,0,1,0,0,3,1,1,1,1
105,2,5,0,2,0,1,1,0,3,1,2,0,1
107,1,3,1,4,0,1,0,0,3,1,1,1,1
108,1,5,1,3,0,0,0,0,3,1,0,1,1
109,3,5,0,2,0,1,0,0,3,1,1,1,1
110,0,7,1,5,0,1,0,0,3,1,1,1,1
111,2,9,0,2,0,1,0,0,3,1,1,0,0
112,5,5,0,2,0,1,0,1,4,0,2,0,1
113,1,5,0,1,0,0,1,0,2,1,1,1,1
114,2,5,1,4,0,0,0,0,3,1,1,1,1
115,4,2,0,2,0,1,0,0,4,1,1,1,1
116,5,5,0,2,0,1,0,0,4,1,2,1,1
117,4,6,0,2,3,1,0,0,3,1,0,0,1
118,5,5,0,2,0,1,0,0,5,1,1,1,1
119,0,5,1,3,0,1,0,0,4,1,1,1,1
120,0,5,1,4,0,0,0,0,3,1,1,1,1
121,3,7,0,2,0,1,0,0,6,1,1,1,0
122,1,7,1,4,3,1,0,0,3,0,1,1,1
123,1,7,0,2,0,1,0,0,4,1,0,0,0
124,0,5,1,4,3,1,0,0,3,1,1,1,1
125,4,7,0,1,0,0,0,0,3,1,1,0,0
126,0,5,1,4,0,0,0,1,2,1,1,1,1
127,1,7,0,2,0,1,0,0,3,1,1,0,0
129,3,5,1,3,0,1,0,0,3,1,1,1,1
130,1,7,1,3,0,0,0,0,6,1,1,1,1
131,0,5,1,3,0,0,0,1,3,1,1,1,1
132,2,5,0,2,0,1,1,0,3,1,2,1,1
133,2,7,0,2,0,1,0,0,4,1,1,1,0
134,3,7,1,3,3,0,0,0,3,1,1,1,1
135,2,8,0,2,0,1,0,0,3,0,0,0,0
136,3,5,0,2,0,1,0,0,6,1,2,1,1
137,1,6,0,1,0,0,0,0,3,1,1,1,1
138,0,5,1,4,0,1,0,0,1,1,1,1,1
139,4,5,0,2,2,1,0,0,3,1,1,0,1
140,6,5,0,2,0,1,0,0,3,1,2,1,1
141,1,5,1,4,0,0,0,0,3,1,1,1,1
142,0,5,1,4,0,1,0,0,2,0,1,1,1
143,3,6,1,3,0,0,0,1,3,1,1,0,1
144,7,5,1,5,0,1,0,0,3,1,1,1,1
145,1,5,1,0,3,0,0,0,2,1,1,1,1
146,0,5,0,2,0,1,0,0,2,1,1,1,1
147,2,5,1,0,0,0,0,0,2,1,1,1,1
148,6,3,0,2,0,1,0,1,3,1,1,1,1
150,4,5,1,0,0,0,0,0,3,0,0,1,1
151,2,5,1,3,0,0,0,0,3,1,1,1,1
152,2,7,1,5,2,0,0,0,3,0,1,1,1
153,0,5,1,4,0,1,0,0,3,1,1,1,1
155,4,5,0,2,0,1,0,0,4,1,1,1,1
156,0,7,1,3,0,1,0,0,3,1,1,1,1
157,7,5,1,0,3,1,0,1,0,1,2,1,1
158,1,5,1,3,0,1,0,0,6,1,1,1,1
159,3,7,1,5,3,1,0,0,4,1,1,1,1
161,1,5,1,0,0,0,0,0,3,1,1,1,1
162,3,8,1,0,2,0,0,0,3,1,2,1,1
163,1,5,1,3,2,0,0,0,3,0,1,1,1
164,3,8,0,2,0,1,0,0,3,1,2,0,0
165,2,5,1,0,0,0,0,0,3,0,1,1,1
166,3,7,1,3,0,1,0,0,4,1,0,1,1
167,3,8,1,0,0,1,0,0,3,1,0,1,1
168,0,3,1,4,0,1,0,0,1,1,1,1,1
169,6,6,1,3,0,0,0,0,1,1,0,1,1
170,1,5,1,3,0,1,0,1,3,1,1,1,1
171,1,5,0,2,0,1,0,0,3,1,0,1,1
172,4,5,0,2,0,1,0,1,3,1,1,0,1
173,1,7,1,3,0,1,0,0,4,1,1,1,1
174,1,7,0,2,0,1,0,0,3,1,0,0,0
175,1,5,1,0,0,0,0,0,2,1,1,1,1
176,0,5,1,4,3,1,0,0,3,1,1,1,1
177,2,5,1,3,3,1,0,0,3,1,1,1,1
178,0,5,1,4,0,1,0,0,1,1,1,1,1
179,2,7,0,2,0,1,0,0,6,1,1,1,0
180,3,5,0,2,3,1,0,0,3,1,0,0,1
181,3,5,1,3,0,0,0,0,3,1,1,1,1
182,1,5,1,3,3,1,0,0,4,1,1,1,1
183,3,1,0,2,0,1,0,0,3,0,1,0,1
184,2,5,0,2,0,1,0,0,4,1,0,0,1
185,2,5,0,2,3,1,0,0,3,1,1,1,1
186,3,7,1,3,0,0,0,0,3,1,2,1,1
188,1,8,0,1,0,0,0,0,4,1,1,1,0
189,5,9,0,2,0,1,0,0,0,1,0,0,0
190,2,5,1,3,3,0,0,0,2,1,1,1,1
191,0,5,0,2,0,1,0,0,3,1,1,1,1
192,3,7,0,2,3,1,0,0,3,1,0,1,0
193,4,5,0,2,0,1,0,0,4,1,1,1,1
194,3,7,0,2,0,1,0,0,2,1,0,1,0
195,0,1,0,5,0,1,0,0,3,0,1,1,1
196,2,5,1,3,0,1,0,0,3,1,1,1,1
197,3,8,1,3,0,0,1,0,5,1,0,0,1
198,2,8,0,5,0,1,1,0,3,1,1,0,0
199,0,5,1,3,0,1,0,0,3,1,2,1,1
200,1,8,1,3,0,0,0,1,3,1,1,1,1
202,4,7,0,2,0,1,0,0,4,1,1,0,0
203,3,5,1,3,0,0,0,1,3,1,0,1,1
204,2,5,1,0,0,0,0,0,3,1,0,1,1
205,0,3,1,4,0,0,0,0,3,1,1,1,1
206,2,7,0,2,3,1,1,0,3,1,1,0,0
207,2,5,1,3,0,1,0,0,6,1,1,1,1
208,5,5,0,1,0,0,1,0,3,1,2,0,1
209,0,3,1,4,0,0,0,0,1,1,1,1,1
210,3,5,0,2,3,1,0,0,3,1,0,1,1
211,2,5,0,2,0,1,0,0,3,1,1,0,1
212,2,5,1,3,1,0,0,0,3,1,1,1,1
213,5,5,0,2,2,1,0,0,3,1,1,1,1
214,5,1,0,2,0,1,0,0,3,1,2,0,1
215,2,7,1,3,3,1,0,0,6,1,1,0,1
216,4,7,1,3,0,0,0,0,3,1,1,1,1
217,2,7,0,2,0,1,0,0,4,0,1,1,0
218,3,7,0,2,0,1,0,0,5,1,1,1,0
219,1,3,1,3,0,1,0,0,3,1,1,1,1
220,1,5,0,2,0,1,0,0,3,1,1,1,1
222,9,5,1,3,3,1,0,1,3,1,1,1,1
223,5,5,0,2,3,1,0,0,1,1,1,1,1
224,4,0,1,3,0,0,0,0,3,1,0,1,1
225,0,5,1,4,0,0,0,0,3,1,1,1,1
227,6,5,0,2,0,1,1,0,4,1,2,1,1
228,7,6,1,3,0,0,0,0,1,0,1,1,1
229,6,5,1,3,0,0,0,0,3,1,1,1,1
230,2,3,1,3,3,1,1,0,3,1,1,1,1
231,3,5,1,0,3,0,0,0,3,1,1,1,1
232,1,5,1,3,0,1,0,0,4,1,1,1,1
233,2,5,1,5,4,0,0,0,3,1,1,1,1
234,1,9,1,3,0,1,0,0,5,1,1,0,1
235,5,5,0,2,0,1,0,0,3,1,0,1,1
236,3,5,1,3,0,0,0,0,3,1,0,1,1
237,3,7,0,2,0,1,0,0,4,0,1,0,0
238,2,8,0,2,0,1,0,0,7,1,0,0,0
239,0,5,1,4,0,1,0,0,3,1,1,1,1
240,3,7,0,2,0,1,0,0,3,1,1,0,0
241,3,5,0,1,0,0,0,0,1,1,2,1,1
242,0,7,0,2,0,1,0,0,4,1,0,1,0
244,2,5,1,3,0,1,0,1,3,1,1,1,1
246,5,5,0,2,0,1,0,0,4,1,1,0,1
247,2,5,1,3,0,0,0,0,3,1,1,1,1
248,3,7,0,2,0,1,0,1,6,1,1,0,0
250,3,9,0,1,0,0,0,0,3,1,1,0,0
251,3,7,0,1,3,0,0,0,3,1,1,1,0
252,5,3,1,0,3,0,0,0,2,1,0,1,1
253,0,5,1,4,0,1,0,0,3,1,0,1,1
254,5,5,1,3,0,1,0,0,1,1,1,1,1
255,3,5,0,2,2,1,0,0,3,0,2,0,1
256,0,5,1,4,0,0,0,0,3,1,1,1,1
257,2,5,1,3,0,0,0,0,2,1,1,1,1
258,3,6,1,3,0,0,0,0,4,1,1,1,1
259,4,1,1,3,0,1,0,0,3,1,1,1,1
260,2,7,1,4,0,0,0,0,3,1,1,1,1
261,3,5,0,2,0,1,0,0,6,1,1,1,1
262,0,3,1,4,0,1,0,0,1,1,1,1,1
263,5,5,0,2,0,1,1,0,3,1,1,1,1
264,1,3,0,2,0,1,0,0,3,1,1,1,1
265,2,5,0,2,2,1,0,0,7,0,2,0,1
267,6,5,0,2,0,1,0,0,3,1,1,0,1
268,2,7,1,3,0,0,0,0,4,1,1,1,1
269,2,5,0,1,0,0,0,0,3,1,1,0,1
270,6,5,0,2,0,1,0,0,3,1,1,0,1
271,0,2,1,4,0,1,1,0,2,1,1,1,1
272,4,8,0,2,0,1,1,0,9,1,2,1,0
273,1,8,1,4,0,1,0,0,3,1,0,1,1
274,1,5,1,4,0,0,0,0,3,1,1,1,1
275,3,5,0,2,3,1,0,0,3,1,1,1,1
276,3,5,0,2,0,1,1,0,3,1,1,0,1
277,2,5,1,3,0,0,0,0,3,1,1,1,1
278,1,5,1,4,0,0,0,0,3,1,1,1,1
279,0,5,0,1,0,0,1,0,4,1,1,0,1
280,0,7,1,3,0,0,0,0,1,0,1,1,1
281,3,5,0,2,0,1,1,0,3,1,0,0,1
282,2,7,1,0,3,0,0,0,4,1,1,1,1
283,5,7,1,3,0,0,0,0,4,1,1,1,1
284,0,5,1,4,0,1,0,0,3,1,1,1,1
285,5,8,0,2,0,1,1,0,3,1,0,0,0
286,3,9,0,2,0,1,0,0,6,1,1,0,0
287,4,5,1,3,0,1,0,0,4,1,1,1,1
288,1,7,1,3,0,0,0,0,3,1,1,1,1
289,4,1,0,2,0,1,0,0,3,0,1,1,1
290,2,7,0,2,0,1,0,0,4,1,1,1,0
291,1,5,1,3,0,0,0,0,3,1,1,1,1
292,1,7,1,3,0,1,0,0,5,1,0,1,1
293,0,5,1,4,0,1,0,0,4,1,1,1,1
294,1,7,1,0,3,0,0,0,3,1,1,1,1
295,6,5,0,2,0,1,0,0,1,1,1,1,1
296,2,7,1,3,0,0,0,0,6,1,2,1,1
298,0,5,1,4,0,1,0,0,3,1,1,1,1
299,2,5,1,3,0,1,0,0,8,1,1,1,1
300,4,7,0,2,0,1,1,0,3,1,1,0,0
301,0,5,1,3,2,0,0,0,2,1,1,1,1
302,1,5,0,2,0,1,0,0,4,1,1,0,1
303,5,5,0,2,0,1,1,0,3,1,1,0,1
304,0,5,0,1,2,0,0,0,3,0,1,1,1
305,3,5,1,3,0,0,0,0,3,1,1,1,1
306,1,7,1,3,0,1,0,0,4,1,1,1,1
307,3,7,1,3,0,0,0,0,3,1,1,1,1
308,2,7,0,2,0,1,0,0,3,1,1,0,0
309,3,5,0,2,0,1,0,0,5,1,2,0,1
310,1,7,1,3,0,1,0,0,3,1,1,1,1
311,2,8,0,2,2,1,1,0,3,0,1,0,0
313,2,7,1,3,3,0,0,0,3,1,2,0,1
314,0,5,1,4,0,1,0,0,1,1,1,1,1
315,0,5,1,3,0,1,0,0,3,1,1,1,1
316,8,5,0,2,0,1,0,0,3,1,2,1,1
317,0,1,0,5,0,0,0,0,3,0,1,1,1
318,1,5,1,3,0,0,0,0,3,1,1,1,1
319,6,5,1,3,0,0,0,0,2,1,1,1,1
320,3,5,0,2,0,1,0,0,3,1,2,1,1
321,3,5,0,2,0,1,0,1,4,1,1,1,1
322,2,5,1,3,0,1,0,0,4,1,1,1,1
323,1,3,1,3,0,0,0,0,3,1,1,1,1
324,8,8,0,2,0,1,0,0,0,1,2,1,0
325,6,5,0,2,0,1,0,0,4,1,2,1,1
327,3,5,0,1,0,0,0,1,4,1,1,0,1
328,5,5,0,2,0,1,0,0,3,1,2,1,1
329,6,5,1,3,0,1,1,0,5,1,1,1,1
330,3,5,1,3,3,1,0,0,4,1,1,1,1
331,1,7,1,3,0,1,0,0,3,1,1,1,1
332,4,6,1,3,0,1,0,0,3,1,1,1,1
333,5,3,0,2,0,1,0,0,3,1,0,1,1
334,4,5,0,2,0,1,0,0,3,1,1,1,1
335,0,1,1,5,0,1,0,0,4,0,1,1,1
336,1,5,1,5,0,1,0,0,3,1,1,1,1
337,4,8,1,3,0,1,0,0,6,1,1,1,1
338,0,5,1,0,3,1,0,0,2,0,1,1,1
339,3,5,0,2,3,1,0,0,3,1,1,1,1
340,1,7,1,3,0,1,0,0,3,1,1,1,1
341,2,6,0,2,0,1,1,0,3,1,1,0,1
342,2,5,0,2,0,1,1,0,3,1,0,0,1
343,2,5,1,3,0,1,0,0,1,1,1,1,1
344,0,5,1,4,3,0,0,0,3,1,0,1,1
345,3,7,1,3,0,1,0,0,4,1,2,1,1
348,5,7,1,3,0,1,0,0,2,0,1,1,1
349,1,7,1,4,0,1,0,0,2,1,1,1,1
350,2,7,0,2,0,1,0,0,3,1,1,0,0
351,1,5,0,2,0,1,0,0,3,1,1,1,1
352,2,7,0,2,0,1,0,0,3,1,1,0,0
353,3,3,0,2,0,1,0,0,2,1,0,1,1
355,2,5,0,2,0,1,0,0,3,1,0,0,1
356,6,3,1,0,4,1,0,0,3,1,1,1,1
357,3,6,0,2,0,1,0,0,3,1,1,0,1
358,3,5,0,1,0,0,0,0,3,1,1,1,1
359,1,2,0,2,0,1,0,0,3,0,2,1,1
360,2,3,0,1,0,0,0,0,2,1,1,1,1
361,6,8,0,2,0,1,0,0,3,1,1,0,0
362,3,7,0,2,0,1,0,0,4,1,1,1,0
363,3,7,1,3,0,1,0,1,4,1,1,0,1
364,0,5,1,3,0,1,0,0,5,1,1,1,1
365,1,5,0,2,0,1,0,0,3,1,1,1,1
366,5,5,0,2,0,1,0,0,4,1,2,1,1
367,0,7,1,3,0,0,0,0,1,1,1,1,1
368,5,7,1,3,0,0,0,0,4,1,1,0,1
369,3,5,1,0,0,0,0,0,3,1,1,1,1
370,1,5,1,0,0,0,0,0,1,1,0,1,1
371,0,3,1,4,0,1,0,0,0,1,1,1,1
372,3,6,0,2,0,1,0,0,3,1,0,0,1
373,3,5,0,2,3,1,0,0,3,1,1,1,1
374,3,5,1,3,3,1,0,0,3,1,1,1,1
375,0,5,1,4,0,0,0,0,0,1,0,1,1
376,2,5,0,1,0,0,0,0,3,1,1,1,1
377,0,5,1,3,0,1,0,0,3,1,1,1,1
378,3,8,1,3,0,1,0,0,2,1,2,1,1
379,2,5,0,2,0,1,0,0,4,1,1,1,1
380,5,5,1,3,0,1,0,0,3,1,1,1,1
381,3,1,1,3,0,0,0,1,4,1,1,1,1
382,1,5,0,2,0,1,0,0,3,1,1,1,1
383,3,5,1,3,0,0,0,0,3,1,1,1,1
384,2,5,0,1,0,0,0,0,3,1,0,1,1
385,0,5,1,3,0,0,0,0,2,1,1,1,1
386,1,5,1,3,0,1,0,0,3,1,1,1,1
387,3,5,0,1,0,0,0,1,0,1,1,0,1
388,0,5,1,4,0,0,0,0,1,1,1,1,1
389,0,5,1,5,0,0,0,0,3,1,1,1,1
390,2,5,0,1,0,0,0,0,3,1,1,0,1
391,1,7,1,3,0,1,0,0,4,1,1,1,1
392,3,7,1,3,0,1,0,0,3,1,2,1,1
394,2,5,1,3,0,0,0,0,3,1,1,1,1
395,3,5,0,2,0,1,0,0,3,1,1,1,1
396,3,5,1,0,0,0,0,0,3,1,1,1,1
398,1,7,0,2,0,1,0,0,5,1,1,0,0
399,4,7,0,2,0,1,0,0,4,1,2,0,0
400,0,5,1,4,0,1,0,0,3,1,1,1,1
401,1,5,1,3,0,0,0,0,3,1,1,1,1
402,4,7,0,2,0,1,0,0,3,1,0,0,0
403,2,6,1,3,0,0,0,0,6,1,1,1,1
404,1,1,0,2,4,1,0,1,3,0,1,1,1
405,3,8,0,2,0,1,0,1,6,1,1,0,0
406,1,5,0,2,0,1,0,0,3,1,1,1,1
407,3,5,0,2,0,1,0,0,2,1,2,1,1
409,2,5,0,2,0,1,0,0,4,1,1,1,1
410,3,5,1,3,3,0,0,0,2,1,0,1,1
411,0,5,1,0,3,0,0,0,3,1,1,1,1
412,2,5,1,0,0,0,0,0,3,1,1,1,1
413,3,9,0,2,0,1,1,0,6,1,1,0,0
414,1,5,0,2,0,1,0,0,3,1,0,1,1
415,2,4,1,3,0,1,0,0,4,1,1,0,1
416,4,0,0,2,0,1,0,0,3,0,1,1,1
417,1,3,1,4,0,0,0,0,1,1,1,1,1
418,2,3,1,3,3,1,0,0,3,1,0,1,1
419,2,5,1,0,0,0,0,0,3,1,0,1,1
420,0,5,0,2,0,1,0,0,2,1,1,1,1
421,0,3,1,4,0,1,1,0,1,1,1,1,1
422,2,7,0,1,0,0,0,0,3,1,0,0,0
423,1,5,1,3,0,1,0,0,3,1,1,1,1
424,2,3,1,0,0,0,0,0,3,1,1,1,1
425,1,5,0,2,0,1,0,0,6,1,1,1,1
426,2,8,1,3,0,1,0,1,3,1,0,1,1
427,0,5,1,3,0,1,0,0,7,0,1,1,1
428,6,5,0,2,0,1,0,0,3,1,2,0,1
429,4,8,0,2,0,1,0,0,3,1,0,1,0
432,3,7,1,3,0,0,1,0,3,1,2,1,1
433,1,7,0,1,0,0,0,0,2,1,1,0,0
434,1,5,1,4,2,1,0,1,3,0,1,1,1
435,2,8,0,2,0,1,0,0,4,1,1,0,0
436,2,5,1,3,3,1,1,0,6,1,0,1,1
437,2,5,1,3,0,0,0,0,3,1,0,1,1
438,0,5,0,2,0,1,0,0,3,1,1,1,1
439,3,5,0,1,0,0,0,0,3,1,0,1,1
440,1,7,1,3,0,1,0,0,3,1,1,1,1
441,3,5,1,3,0,0,0,0,2,1,1,1,1
442,0,5,1,4,0,1,0,0,3,1,0,1,1
443,3,5,0,2,0,1,0,0,3,1,1,0,1
444,1,2,1,5,0,1,0,0,3,0,1,1,1
445,0,5,1,3,0,1,0,0,3,1,1,1,1
446,3,5,1,0,3,0,0,0,3,1,1,1,1
447,4,5,0,2,1,1,0,0,3,1,1,1,1
448,0,5,0,2,0,1,0,0,3,1,1,1,1
450,0,5,1,4,3,0,0,0,3,1,1,1,1
451,3,5,0,2,0,1,0,0,5,1,2,0,1
452,5,5,0,2,0,1,0,0,3,1,1,0,1
454,3,5,0,1,0,0,0,0,3,1,2,0,1
455,3,6,0,2,2,1,0,0,3,1,1,0,1
456,1,5,0,1,0,0,0,0,3,1,1,1,1
457,2,5,0,2,3,1,0,0,4,1,1,1,1
458,0,5,0,2,0,1,0,0,6,1,1,1,1
460,3,7,1,4,0,1,0,0,3,1,1,1,1
461,5,5,0,2,3,1,0,0,3,1,0,1,1
462,2,7,0,2,0,1,0,0,4,1,1,1,0
463,4,0,1,0,0,1,0,0,3,1,1,1,1
464,0,7,1,3,0,0,0,0,1,1,1,1,1
465,2,5,0,1,0,0,0,0,6,1,1,1,1
466,4,5,1,0,0,1,0,0,3,1,1,1,1
467,2,5,0,2,0,1,0,0,3,1,1,1,1
468,4,8,0,2,0,1,0,1,4,1,1,0,0
469,1,7,0,1,0,0,0,0,1,1,1,0,0
470,5,5,1,0,0,1,0,0,3,1,1,0,1
472,2,5,1,3,0,1,0,0,3,1,1,1,1
473,1,5,1,3,0,1,0,0,6,1,1,1,1
474,6,6,1,3,0,0,0,0,2,1,1,1,1
475,3,7,1,3,0,0,0,0,3,1,1,1,1
476,0,2,1,3,0,1,0,0,0,1,1,1,1
477,0,5,1,4,0,1,0,0,2,1,1,1,1
478,1,3,1,3,0,1,0,0,3,1,1,1,1
479,0,5,1,0,0,0,0,0,3,1,1,1,1
480,2,7,0,2,0,1,0,0,4,0,1,1,0
481,3,5,0,2,0,1,0,0,1,1,2,1,1
482,1,7,1,3,0,1,0,0,1,1,0,1,1
483,3,5,1,0,0,0,0,0,3,1,1,1,1
485,1,5,1,4,3,0,0,0,1,1,1,1,1
487,5,5,0,2,0,1,0,0,4,1,0,1,1
488,3,7,1,0,0,0,0,0,3,1,0,1,1
489,2,7,0,2,0,1,1,0,6,1,1,0,0
490,3,5,1,3,0,0,0,0,3,1,1,1,1
491,3,5,1,3,0,1,0,0,3,1,0,1,1
492,2,7,1,3,0,0,0,0,6,1,1,1,1
493,2,5,1,0,0,0,0,0,2,1,1,1,1
494,2,7,1,4,0,1,0,0,1,1,1,1,1
495,3,5,1,0,0,0,0,0,3,1,1,1,1
496,0,5,1,4,0,1,0,0,3,1,1,1,1
497,0,1,1,4,0,1,0,0,3,0,1,1,1
498,1,5,1,3,0,0,0,0,3,1,1,1,1
500,0,5,1,3,0,1,0,0,3,0,0,1,1
501,6,5,0,2,0,1,0,0,3,1,0,1,1
502,4,5,0,2,0,1,0,0,3,1,1,1,1
503,5,5,1,0,0,0,0,0,4,0,1,1,1
504,1,7,1,3,0,0,0,0,3,1,1,1,1
505,0,7,1,3,3,1,0,0,3,1,1,1,1
506,0,5,1,4,0,1,0,0,0,1,1,1,1
507,3,5,0,2,0,1,0,0,3,1,1,1,1
508,4,5,1,0,3,0,0,0,3,1,0,1,1
509,3,5,1,0,0,0,0,0,3,1,1,1,1
510,4,6,1,0,0,1,0,1,4,1,1,1,1
512,2,6,1,3,0,1,0,0,4,1,1,1,1
513,2,5,0,2,0,1,0,0,4,1,1,0,1
514,1,5,1,3,0,1,0,0,4,1,1,1,1
516,1,5,1,3,1,0,0,0,1,1,1,1,1
519,2,7,0,2,0,1,0,0,4,1,1,0,0
520,2,7,0,2,0,1,1,0,8,1,2,0,0
521,4,5,0,2,0,1,1,0,4,1,1,0,1
522,0,5,1,3,3,1,0,0,4,1,0,1,1
523,2,5,0,2,0,1,0,0,4,1,0,0,1
524,3,5,1,0,0,1,0,0,5,1,1,0,1
525,1,5,0,1,0,0,0,0,3,1,1,1,1
526,3,7,0,2,0,1,0,0,3,1,1,0,0
527,7,5,1,3,0,0,0,0,0,1,1,1,1
528,2,5,0,2,0,1,0,0,4,1,2,1,1
529,3,8,0,2,0,1,0,0,3,1,2,1,0
530,3,3,1,0,4,0,0,0,4,0,1,1,1
531,1,5,1,3,0,1,0,0,3,1,1,1,1
532,2,5,0,2,3,1,0,0,3,1,1,1,1
533,3,7,0,1,0,0,0,0,4,1,1,0,0
534,6,9,0,2,0,1,1,0,4,1,1,0,0
535,3,4,0,2,0,1,0,0,4,1,0,1,1
536,5,0,1,3,3,0,0,0,2,1,1,1,1
